YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA PLANTED, LONG GRAIN in ACRES","AREA PLANTED, MEDIUM GRAIN in ACRES","AREA PLANTED, SHORT GRAIN in ACRES","AREA PLANTED in ACRES","AREA HARVESTED, LONG GRAIN in ACRES","AREA HARVESTED, MEDIUM GRAIN in ACRES","AREA HARVESTED in ACRES","AREA HARVESTED, SHORT GRAIN in ACRES","PRODUCTION in $","PRODUCTION, SHORT GRAIN in CWT","PRODUCTION, LONG GRAIN in CWT","PRODUCTION in CWT","PRODUCTION, MEDIUM GRAIN in CWT","YIELD, SHORT GRAIN in LB / ACRE","YIELD, MEDIUM GRAIN in LB / ACRE","YIELD, LONG GRAIN in LB / ACRE","YIELD in LB / ACRE","PRICE RECEIVED in $ / CWT","PRICE RECEIVED, MEDIUM-SHORT GRAIN in $ / CWT","PRICE RECEIVED, LONG GRAIN in $ / CWT","YIELD in LB / NET PLANTED ACRE"
1896,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","6,000"," "," "," "," ","61,000"," "," "," "," ","1,012"," "," "," "," "
1896,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","148,000"," "," "," "," ","1,265,000"," "," "," "," ",855," "," "," "," "
1897,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","19,000"," "," "," "," ","94,000"," "," "," "," ",495," "," "," "," "
1897,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","7,000"," "," "," "," ","105,000"," "," "," "," ","1,504"," "," "," "," "
1897,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","3,000"," "," "," "," ","21,000"," "," "," "," ",690," "," "," "," "
1897,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","170,000"," "," "," "," ","1,951,000"," "," "," "," ","1,148"," "," "," "," "
1897,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","70,000"," "," "," "," ","724,000"," "," "," "," ","1,035"," "," "," "," "
1897,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","21,000"," "," "," "," ","189,000"," "," "," "," ",900," "," "," "," "
1898,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","184,000"," "," "," "," ","2,401,000"," "," "," "," ","1,305"," "," "," "," "
1898,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","21,000"," "," "," "," ","166,000"," "," "," "," ",789," "," "," "," "
1898,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","74,000"," "," "," "," ","833,000"," "," "," "," ","1,125"," "," "," "," "
1898,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","9,000"," "," "," "," ","154,000"," "," "," "," ","1,710"," "," "," "," "
1898,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","22,000"," "," "," "," ","158,000"," "," "," "," ",720," "," "," "," "
1898,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","4,000"," "," "," "," ","25,000"," "," "," "," ",630," "," "," "," "
1899,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","22,000"," "," "," "," ","181,000"," "," "," "," ",824," "," "," "," "
1899,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","22,000"," "," "," "," ","126,000"," "," "," "," ",571," "," "," "," "
1899,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","78,000"," "," "," "," ","768,000"," "," "," "," ",985," "," "," "," "
1899,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","9,000"," "," "," "," ","120,000"," "," "," "," ","1,335"," "," "," "," "
1899,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","5,000"," "," "," "," ","34,000"," "," "," "," ",675," "," "," "," "
1899,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","202,000"," "," "," "," ","2,800,000"," "," "," "," ","1,386"," "," "," "," "
1900,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","30,000"," "," "," "," ","500,000"," "," "," "," ","1,665"," "," "," "," "
1900,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","22,000"," "," "," "," ","178,000"," "," "," "," ",810," "," "," "," "
1900,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","215,000"," "," "," "," ","3,096,000"," "," "," "," ","1,440"," "," "," "," "
1900,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","19,000"," "," "," "," ","64,000"," "," "," "," ",336," "," "," "," "
1900,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","70,000"," "," "," "," ","535,000"," "," "," "," ",765," "," "," "," "
1900,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","5,000"," "," "," "," ","34,000"," "," "," "," ",675," "," "," "," "
1901,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","75,000"," "," "," "," ","1,232,000"," "," "," "," ","1,643"," "," "," "," "
1901,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","4,000"," "," "," "," ","29,000"," "," "," "," ",720," "," "," "," "
1901,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","62,000"," "," "," "," ","614,000"," "," "," "," ",990," "," "," "," "
1901,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","16,000"," "," "," "," ","101,000"," "," "," "," ",630," "," "," "," "
1901,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","245,000"," "," "," "," ","3,528,000"," "," "," "," ","1,440"," "," "," "," "
1901,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","21,000"," "," "," "," ","198,000"," "," "," "," ",945," "," "," "," "
1902,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","310,000"," "," "," "," ","3,208,000"," "," "," "," ","1,035"," "," "," "," "
1902,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","20,000"," "," "," "," ","184,000"," "," "," "," ",922," "," "," "," "
1902,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","3,000"," "," "," "," ","21,000"," "," "," "," ",690," "," "," "," "
1902,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","13,000"," "," "," "," ","73,000"," "," "," "," ",561," "," "," "," "
1902,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","59,000"," "," "," "," ","598,000"," "," "," "," ","1,013"," "," "," "," "
1902,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","140,000"," "," "," "," ","2,457,000"," "," "," "," ","1,755"," "," "," "," "
1903,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","315,000"," "," "," "," ","4,820,000"," "," "," "," ","1,530"," "," "," "," "
1903,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","19,000"," "," "," "," ","188,000"," "," "," "," ",990," "," "," "," "
1903,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","3,000"," "," "," "," ","22,000"," "," "," "," ",720," "," "," "," "
1903,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","150,000"," "," "," "," ","2,970,000"," "," "," "," ","1,980"," "," "," "," "
1903,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","49,000"," "," "," "," ","518,000"," "," "," "," ","1,058"," "," "," "," "
1903,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","11,000"," "," "," "," ","72,000"," "," "," "," ",655," "," "," "," "
1904,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","300,000"," "," "," "," ","4,185,000"," "," "," "," ","1,395"," "," "," "," "
1904,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","10,000"," "," "," "," ","74,000"," "," "," "," ",742," "," "," "," "
1904,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","2,000"," "," "," "," ","15,000"," "," "," "," ",765," "," "," "," "
1904,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","196,000"," "," "," "," ","3,705,000"," "," "," "," ","1,890"," "," "," "," "
1904,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","48,000"," "," "," "," ","486,000"," "," "," "," ","1,012"," "," "," "," "
1904,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","18,000"," "," "," "," ","182,000"," "," "," "," ","1,012"," "," "," "," "
1905,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","250,000"," "," "," "," ","3,712,000"," "," "," "," ","1,485"," "," "," "," "
1905,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","20,000"," "," "," "," ","216,000"," "," "," "," ","1,080"," "," "," "," "
1905,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","14,000"," "," "," "," ","1,440"," "," "," "," "
1905,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","165,000"," "," "," "," ","3,082,000"," "," "," "," ","1,868"," "," "," "," "
1905,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","14,000"," "," "," "," ","139,000"," "," "," "," ",990," "," "," "," "
1905,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","6,000"," "," "," "," ","46,000"," "," "," "," ",765," "," "," "," "
1905,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","8,000"," "," "," "," ",810," "," "," "," "
1906,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","270,000"," "," "," "," ","4,131,000"," "," "," "," ","1,530"," "," "," "," "
1906,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","8,000"," "," "," "," ",810," "," "," "," "
1906,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","4,000"," "," "," "," ","68,000"," "," "," "," ","1,710"," "," "," "," "
1906,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","5,000"," "," "," "," ","43,000"," "," "," "," ",855," "," "," "," "
1906,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","22,000"," "," "," "," ","243,000"," "," "," "," ","1,102"," "," "," "," "
1906,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","190,000"," "," "," "," ","3,377,000"," "," "," "," ","1,778"," "," "," "," "
1906,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","13,000"," "," "," "," ","129,000"," "," "," "," ",990," "," "," "," "
1907,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","228,000"," "," "," "," ","4,207,000"," "," "," "," ","1,845"," "," "," "," "
1907,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","8,000"," "," "," "," ","85,000"," "," "," "," ","1,058"," "," "," "," "
1907,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","8,000"," "," "," "," ",810," "," "," "," "
1907,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","6,000"," "," "," "," ","101,000"," "," "," "," ","1,688"," "," "," "," "
1907,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","21,000"," "," "," "," ","255,000"," "," "," "," ","1,215"," "," "," "," "
1907,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","4,000"," "," "," "," ","36,000"," "," "," "," ",900," "," "," "," "
1907,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","295,000"," "," "," "," ","4,646,000"," "," "," "," ","1,575"," "," "," "," "
1908,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","2,000"," "," "," "," ","18,000"," "," "," "," ",922," "," "," "," "
1908,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","330,000"," "," "," "," ","5,420,000"," "," "," "," ","1,642"," "," "," "," "
1908,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","7,000"," "," "," "," ","71,000"," "," "," "," ","1,016"," "," "," "," "
1908,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","8,000"," "," "," "," ",810," "," "," "," "
1908,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","11,000"," "," "," "," ","211,000"," "," "," "," ","1,915"," "," "," "," "
1908,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","21,000"," "," "," "," ","218,000"," "," "," "," ","1,035"," "," "," "," "
1908,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","224,000"," "," "," "," ","4,133,000"," "," "," "," ","1,845"," "," "," "," "
1909,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","10,000"," "," "," "," ",990," "," "," "," "
1909,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","238,000"," "," "," "," ","4,048,000"," "," "," "," ","1,701"," "," "," "," "
1909,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","6,000"," "," "," "," ","62,000"," "," "," "," ","1,042"," "," "," "," "
1909,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","9,000"," "," "," "," ",900," "," "," "," "
1909,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","27,000"," "," "," "," ","569,000"," "," "," "," ","2,107"," "," "," "," "
1909,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","19,000"," "," "," "," ","238,000"," "," "," "," ","1,251"," "," "," "," "
1909,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","370,000"," "," "," "," ","5,678,000"," "," "," "," ","1,534"," "," "," "," "
1910,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","19,000"," "," "," "," ","235,000"," "," "," "," ","1,236"," "," "," "," "
1910,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","6,000"," "," "," "," ","62,000"," "," "," "," ","1,035"," "," "," "," "
1910,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","9,000"," "," "," "," ",945," "," "," "," "
1910,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","60,000"," "," "," "," ","1,215,000"," "," "," "," ","2,025"," "," "," "," "
1910,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","220,000"," "," "," "," ","3,614,000"," "," "," "," ","1,642"," "," "," "," "
1910,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","360,000"," "," "," "," ","5,994,000"," "," "," "," ","1,665"," "," "," "," "
1911,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","350,000"," "," "," "," ","5,276,000"," "," "," "," ","1,508"," "," "," "," "
1911,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","4,000"," "," "," "," ","36,000"," "," "," "," ",900," "," "," "," "
1911,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","72,000"," "," "," "," ","1,426,000"," "," "," "," ","1,980"," "," "," "," "
1911,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","195,000"," "," "," "," ","3,379,000"," "," "," "," ","1,733"," "," "," "," "
1911,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","14,000"," "," "," "," ","72,000"," "," "," "," ",518," "," "," "," "
1911,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","9,000"," "," "," "," ",900," "," "," "," "
1912,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","3,000"," "," "," "," ","30,000"," "," "," "," ",990," "," "," "," "
1912,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","26,000"," "," "," "," ","2,565"," "," "," "," "
1912,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","91,000"," "," "," "," ","1,781,000"," "," "," "," ","1,957"," "," "," "," "
1912,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","315,000"," "," "," "," ","5,032,000"," "," "," "," ","1,597"," "," "," "," "
1912,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","9,000"," "," "," "," ",945," "," "," "," "
1912,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","220,000"," "," "," "," ","3,663,000"," "," "," "," ","1,665"," "," "," "," "
1912,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","12,000"," "," "," "," ","124,000"," "," "," "," ","1,035"," "," "," "," "
1913,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","2,000"," "," "," "," ","20,000"," "," "," "," ",990," "," "," "," "
1913,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","9,000"," "," "," "," ",900," "," "," "," "
1913,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","6,000"," "," "," "," ","162,000"," "," "," "," ","2,700"," "," "," "," "
1913,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","250,000"," "," "," "," ","3,600,000"," "," "," "," ","1,440"," "," "," "," "
1913,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","8,000"," "," "," "," ","79,000"," "," "," "," ",990," "," "," "," "
1913,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","350,000"," "," "," "," ","5,040,000"," "," "," "," ","1,440"," "," "," "," "
1913,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","105,000"," "," "," "," ","1,984,000"," "," "," "," ","1,890"," "," "," "," "
1914,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","320,000"," "," "," "," ","5,184,000"," "," "," "," ","1,620"," "," "," "," "
1914,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","5,000"," "," "," "," ","50,000"," "," "," "," ","1,008"," "," "," "," "
1914,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","8,000"," "," "," "," ",810," "," "," "," "
1914,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","15,000"," "," "," "," ","405,000"," "," "," "," ","2,700"," "," "," "," "
1914,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","93,000"," "," "," "," ","1,779,000"," "," "," "," ","1,912"," "," "," "," "
1914,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","12,000"," "," "," "," ","124,000"," "," "," "," ","1,035"," "," "," "," "
1914,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","200,000"," "," "," "," ","3,015,000"," "," "," "," ","1,508"," "," "," "," "
1915,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","385,000"," "," "," "," ","5,804,000"," "," "," "," ","1,508"," "," "," "," "
1915,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","4,000"," "," "," "," ","40,000"," "," "," "," ",990," "," "," "," "
1915,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","8,000"," "," "," "," ",810," "," "," "," "
1915,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","30,000"," "," "," "," ","837,000"," "," "," "," ","2,790"," "," "," "," "
1915,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","100,000"," "," "," "," ","2,070,000"," "," "," "," ","2,070"," "," "," "," "
1915,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","213,000"," "," "," "," ","2,923,000"," "," "," "," ","1,372"," "," "," "," "
1915,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","7,000"," "," "," "," ","66,000"," "," "," "," ",945," "," "," "," "
1916,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","435,000"," "," "," "," ","9,004,000"," "," "," "," ","2,070"," "," "," "," "
1916,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","7,000"," "," "," "," ","68,000"," "," "," "," ",964," "," "," "," "
1916,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","8,000"," "," "," "," ",810," "," "," "," "
1916,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","59,000"," "," "," "," ","1,593,000"," "," "," "," ","2,700"," "," "," "," "
1916,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","125,000"," "," "," "," ","2,841,000"," "," "," "," ","2,272"," "," "," "," "
1916,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","212,000"," "," "," "," ","4,245,000"," "," "," "," ","2,002"," "," "," "," "
1916,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","4,000"," "," "," "," ","36,000"," "," "," "," ",900," "," "," "," "
1917,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","485,000"," "," "," "," ","7,202,000"," "," "," "," ","1,485"," "," "," "," "
1917,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","2,000"," "," "," "," ","17,000"," "," "," "," ",855," "," "," "," "
1917,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","88,000"," "," "," "," ","2,376,000"," "," "," "," ","2,700"," "," "," "," "
1917,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","152,000"," "," "," "," ","3,112,000"," "," "," "," ","2,048"," "," "," "," "
1917,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","6,000"," "," "," "," ","55,000"," "," "," "," ",922," "," "," "," "
1917,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","4,000"," "," "," "," ","40,000"," "," "," "," ",990," "," "," "," "
1917,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","216,000"," "," "," "," ","2,819,000"," "," "," "," ","1,305"," "," "," "," "
1918,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","565,000"," "," "," "," ","8,136,000"," "," "," "," ","1,440"," "," "," "," "
1918,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","5,000"," "," "," "," ","39,000"," "," "," "," ",792," "," "," "," "
1918,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","2,000"," "," "," "," ","15,000"," "," "," "," ",765," "," "," "," "
1918,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","120,000"," "," "," "," ","3,105,000"," "," "," "," ","2,588"," "," "," "," "
1918,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","170,000"," "," "," "," ","3,213,000"," "," "," "," ","1,890"," "," "," "," "
1918,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","230,000"," "," "," "," ","3,416,000"," "," "," "," ","1,485"," "," "," "," "
1918,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","9,000"," "," "," "," ","75,000"," "," "," "," ",830," "," "," "," "
1919,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","543,000"," "," "," "," ","8,552,000"," "," "," "," ","1,575"," "," "," "," "
1919,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","212,000"," "," "," "," ","3,053,000"," "," "," "," ","1,440"," "," "," "," "
1919,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","2,000"," "," "," "," ","15,000"," "," "," "," ",742," "," "," "," "
1919,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","155,000"," "," "," "," ","4,185,000"," "," "," "," ","2,700"," "," "," "," "
1919,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","160,000"," "," "," "," ","3,420,000"," "," "," "," ","2,138"," "," "," "," "
1919,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","4,000"," "," "," "," ","26,000"," "," "," "," ",652," "," "," "," "
